,Chinese name,Foreign name,Other name,who,When/Where/What,Score,About
113,幽灵公主,もののけ姫,魔法公主(港)  /  魔法公主(台),导演:宫崎骏HayaoMiyazaki\主演:松田洋治YôjiMatsuda/石田百合...,1997/日本/动画奇幻冒险,8.9,人与自然的战争史诗。
114,爱在日落黄昏时,Before Sunset,日落巴黎(港)  /  爱在日落巴黎时(台),导演:理查德·林克莱特RichardLinklater\主演:伊桑·霍克EthanHawke...,2004/美国法国/剧情爱情,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
115,菊次郎的夏天,菊次郎の夏,菊次郎之夏  /  Kikujirô no natsu,导演:北野武TakeshiKitano\主演:北野武TakeshiKitano/关口雄介Yus...,1999/日本/剧情喜剧,8.9,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
116,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),导演:米林宏昌HiromasaYonebayashi\主演:志田未来MiraiShida/神木...,2010/日本/动画奇幻冒险,8.9,曾经的那段美好会沉淀为一辈子的记忆。
117,消失的爱人,Gone Girl,失踪的女孩  /  失踪女孩,导演:大卫·芬奇DavidFincher\主演:本·阿弗莱克BenAffleck/罗莎蒙...,2014/美国/剧情犯罪悬疑惊悚,8.7,年度最佳date movie。
118,寄生虫,기생충,寄生上流(台)  /  上流寄生族(港),导演:奉俊昊Joon-hoBong\主演:宋康昊Kang-hoSong/李善均Seon-gyun...,2019/韩国/剧情,8.8, 
119,阳光灿烂的日子, ,In the Heat of the Sun,导演:姜文WenJiang\主演:夏雨YuXia/宁静JingNing/陶虹HongTao,1994/中国大陆中国香港/剧情爱情,8.8,一场华丽的意淫。
120,天使爱美丽,Le fabuleux destin d'Amélie Poulain,艾蜜莉的异想世界(台)  /  天使艾米莉,导演:让-皮埃尔·热内Jean-PierreJeunet\主演:奥黛丽·塔图AudreyTau...,2001/法国德国/剧情喜剧爱情,8.7,法式小清新。 
121,完美的世界,A Perfect World,强盗保镳,导演:克林特·伊斯特伍德ClintEastwood\主演:凯文·科斯特纳KevinCos...,1993/美国/剧情犯罪,9.1,坏人的好总是比好人的好来得更感人。
122,小森林 夏秋篇,リトル・フォレスト 夏・秋,小森食光 / 夏秋篇(台) ,导演:森淳一JunichiMori\主演:桥本爱AiHashimoto/三浦贵大Takahir...,2014/日本/剧情,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。
123,倩女幽魂, ,倩女幽魂(87版)  /  倩女幽魂：妖魔道,导演:程小东Siu-TungChing\主演:张国荣LeslieCheung/王祖贤JoeyW...,1987/中国香港/爱情奇幻武侠古装,8.8,两张绝世的脸。 
124,无人知晓,誰も知らない,谁知赤子心(港)  /  无人知晓的夏日清晨(台),导演:是枝裕和HirokazuKoreeda\主演:柳乐优弥YûyaYagira/北浦爱...,2004/日本/剧情,9.1,我的平常生活就是他人的幸福。
125,时空恋旅人,About Time,回到最爱的一天(港)  /  真爱每一天(台),导演:理查德·柯蒂斯RichardCurtis\主演:多姆纳尔·格里森DomhnallGl...,2013/英国/喜剧爱情奇幻,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
126,侧耳倾听,耳をすませば,心之谷(台)  /  梦幻街少女(港),导演:近藤喜文YoshifumiKondo\主演:本名阳子YoukoHonna/小林桂树K...,1995/日本/剧情爱情动画,8.9,少女情怀总是诗。
127,未麻的部屋,Perfect Blue,蓝色恐惧(港 / 台) ,导演:今敏SatoshiKon\主演:岩男润子JunkoIwao/松本梨香RicaMatsu...,1997/日本/动画奇幻惊悚,9.1,好的剧本是，就算你猜到了结局也猜不到全部。
128,哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,哈利波特4：火杯的考验(港 / 台) ,导演:迈克·内威尔MikeNewell\主演:丹尼尔·雷德克里夫DanielRadclif...,2005/英国美国/悬疑奇幻冒险,8.8, 
129,幸福终点站,The Terminal,机场客运站(港)  /  航站情缘(台),导演:史蒂文·斯皮尔伯格StevenSpielberg\主演:汤姆·汉克斯TomHanks...,2004/美国/喜剧剧情爱情,8.8,有时候幸福需要等一等。 
130,驯龙高手,How to Train Your Dragon,驯龙记(港),导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders\主演:...,2010/美国/动画奇幻冒险,8.8,和谐的生活离不开摸头与被摸头。
131,小森林 冬春篇,リトル・フォレスト 冬・春,小森食光 / 冬春篇(台) ,导演:森淳一JunichiMori\主演:桥本爱AiHashimoto/三浦贵大Takahir...,2015/日本/剧情,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
132,一个叫欧维的男人决定去死,En man som heter Ove,明天别再来敲门(台)  /  想死冇咁易(港),导演:汉内斯·赫尔姆HannesHolm\主演:罗夫·拉斯加德RolfLassgård...,2015/瑞典/剧情,8.9,惠及一生的美丽。
133,教父3,The Godfather: Part III,教父第三集  /  教父 III,导演:弗朗西斯·福特·科波拉FrancisFordCoppola\主演:阿尔·帕西诺A...,1990/美国/剧情犯罪,9.0,任何信念的力量，都无法改变命运。
134,怪兽电力公司,"Monsters, Inc.",怪兽公司(港)  /  怪物公司,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman\主演:约...,2001/美国/儿童喜剧动画奇幻冒险,8.8,不要给它起名字，起了名字就有感情了。
135,玩具总动员3,Toy Story 3,反斗奇兵3(港)  /  玩具的故事3,导演:李·昂克里奇LeeUnkrich\主演:汤姆·汉克斯TomHanks/蒂姆·艾...,2010/美国/喜剧动画奇幻冒险,8.9,跨度十五年的欢乐与泪水。
136,傲慢与偏见,Pride & Prejudice,傲慢与偏见2005  /  Pride And Prejudice,导演:乔·怀特JoeWright\主演:凯拉·奈特莉KeiraKnightley/马修·...,2005/法国英国美国/剧情爱情,8.7,爱是摈弃傲慢与偏见之后的曙光。
137,萤火之森,蛍火の杜へ,萤火之社  /  Hotarubi no mori e,导演:大森贵弘TakahiroOmori\主演:佐仓绫音AyaneSakura/内山昂辉K...,2011/日本/剧情爱情动画奇幻,8.9,触不到的恋人。
138,新世界,신세계,暗黑新世界(台)  /  New World,导演:朴勋政Hoon-jungPark\主演:李政宰Jung-JaeLee/崔岷植Min-sik...,2013/韩国/剧情犯罪,8.9,要做就做得狠一点，这样才能活下去。
139,釜山行,부산행,尸杀列车(港)  /  尸速列车(台),导演:延尚昊Sang-hoYeon\主演:孔侑YooGong/郑有美Yu-miJung/马...,2016/韩国/动作惊悚灾难,8.6,揭露人性的丧尸题材力作。
140,被解救的姜戈,Django Unchained,被解放的姜戈  /  决杀令(台),导演:昆汀·塔伦蒂诺QuentinTarantino\主演:杰米·福克斯JamieFoxx/...,2012/美国/剧情动作西部冒险,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。
141,神偷奶爸,Despicable Me,卑鄙的我  /  坏蛋奖门人(港),导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud\主演:...,2010/美国法国/喜剧动画冒险,8.7,Mr. I Don't Care其实也有Care的时候。
142,茶馆, ,The Teahouse,导演:谢添TianXie\主演:于是之ShizhiYu/郑榕RongZhen/蓝天野T...,1982(中国大陆)/中国大陆/剧情历史,9.6, 
143,告白, ,自白  /  母亲,导演:中岛哲也TetsuyaNakashima\主演:松隆子TakakoMatsu/冈田将生...,2010/日本/剧情悬疑,8.8,没有一人完全善，也没有一人完全恶。
144,玛丽和马克思,Mary and Max,巧克力情缘(台)  /  同是天涯寂寞客,导演:亚当·艾略特AdamElliot\主演:托妮·科莱特ToniCollette/菲利...,2009/澳大利亚美国/剧情喜剧动画,9.0,你是我最好的朋友，你是我唯一的朋友 。
145,哪吒闹海, ,Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,导演:王树忱ShuchenWang/严定宪DingxianYan\主演:梁正晖Zhenghui...,1979/中国大陆/冒险动画奇幻,9.2,想你时你在闹海。
146,大鱼,Big Fish,大鱼奇缘(港)  /  大智若鱼(台),导演:蒂姆·波顿TimBurton\主演:伊万·麦克格雷格EwanMcGregor/阿...,2003/美国/剧情家庭奇幻冒险,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
147,色，戒, ,色|戒  /  色·戒,导演:李安AngLee\主演:梁朝伟TonyLeungChiuWai/汤唯WeiTang/...,2007/中国台湾中国大陆美国中国香港/剧情爱情情色,8.7,假戏真情，爱欲深海
148,九品芝麻官, ,九品芝麻官之白面包青天  /  Hail the Judge,导演:王晶JingWong\主演:周星驰StephenChow/吴孟达ManTatNg/...,1994/中国香港中国大陆/剧情喜剧古装,8.7, 
149,喜宴,囍宴,The Wedding Banquet,导演:李安AngLee\主演:赵文瑄WinstonChao/归亚蕾Ya-leiKuei/郎...,1993/中国台湾美国/剧情喜剧爱情同性家庭,9.0,中国家庭的喜怒哀乐忍。
150,模仿游戏,The Imitation Game,解码游戏(港)  /  模拟游戏,导演:莫滕·泰杜姆MortenTyldum\主演:本尼迪克特·康伯巴奇BenedictC...,2014/英国美国/剧情传记战争同性,8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
151,头号玩家,Ready Player One,玩家一号  /  挑战者1号(港),导演:史蒂文·斯皮尔伯格StevenSpielberg\主演:泰伊·谢里丹TyeSheri...,2018/美国/动作科幻冒险,8.7,写给影迷，动漫迷和游戏迷的一封情书。
152,射雕英雄传之东成西就,射鵰英雄傳之東成西就,东成西就  /  大英雄 (日本),导演:刘镇伟JeffreyLau\主演:梁朝伟TonyLeungChiuWai/林青霞Bri...,1993/中国香港/喜剧奇幻武侠古装,8.7,百看不厌。 
153,花样年华,花樣年華,In the Mood for Love,导演:王家卫KarWaiWong\主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...,2000/中国香港/剧情爱情,8.8,偷情本没有这样美。
154,我是山姆,I Am Sam,不一样的爸爸(港)  /  他不笨，他是我爸爸(台),导演:杰茜·尼尔森JessieNelson\主演:SeanPenn/DakotaFanning/Mi...,2001/美国/剧情家庭,9.0,爱并不需要智商 。
155,头脑特工队,Inside Out,玩转脑朋友(港)  /  脑筋急转弯(台),导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen&nb...,2015/美国/喜剧动画冒险,8.8,愿我们都不用长大，每一座城堡都能永远存在。
156,阳光姐妹淘,써니,阳光姊妹淘(港)  /  桑尼,导演:姜炯哲Hyeong-CheolKang\主演:沈恩京Eun-kyungShim/闵孝琳Hy...,2011/韩国/剧情喜剧,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
157,七武士,七人の侍,七侠四义(港)  /  七剑客(港),导演:黑泽明AkiraKurosawa\主演:三船敏郎ToshirôMifune/志村乔...,1954/日本/动作冒险剧情,9.3,时代悲歌。
158,血战钢锯岭,Hacksaw Ridge,钢锯岭  /  钢铁英雄(台),导演:梅尔·吉布森MelGibson\主演:安德鲁·加菲尔德AndrewGarfield/...,2016/澳大利亚美国/剧情传记历史战争,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
159,恐怖直播,더 테러 라이브,死亡“动”新闻(港)  /  恐怖攻击直播(台),导演:金秉祐Byeong-wooKim\主演:河正宇Jung-wooHa/李璟荣Kyeong-y...,2013/韩国/剧情犯罪悬疑,8.7,恐怖分子的“秋菊打官司”。
160,惊魂记,Psycho,精神病患者  /  触目惊心(港),导演:阿尔弗雷德·希区柯克AlfredHitchcock\主演:安东尼·博金斯Antho...,1960/美国/悬疑惊悚恐怖,9.0,故事的反转与反转，分裂电影的始祖。
161,黑客帝国3：矩阵革命,The Matrix Revolutions,22世纪杀人网络3：惊变世纪(港)  /  骇客任务完结篇：最后战役(台),导演:拉娜·沃卓斯基LanaWachowski/莉莉·沃卓斯基LillyWachowski\...,2003/美国/动作科幻,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
162,你的名字。,君の名は。,你的名字  /  君之名,导演:新海诚MakotoShinkai\主演:神木隆之介RyûnosukeKamiki/上...,2016/日本/剧情爱情动画,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
163,电锯惊魂,Saw,恐惧斗室(港)  /  夺魂锯(台),导演:詹姆斯·温JamesWan\主演:雷·沃纳尔LeighWhannell/加利·艾...,2004/美国/悬疑惊悚恐怖,8.7,真相就在眼前。
164,三块广告牌,"Three Billboards Outside Ebbing, Missouri",广告牌杀人事件(港)  /  意外(台),导演:马丁·麦克唐纳MartinMcDonagh\主演:弗兰西斯·麦克多蒙德France...,2017/英国美国/剧情犯罪,8.7,怼天怼地，你走后，她与世界为敌。
165,达拉斯买家俱乐部,Dallas Buyers Club,续命枭雄(港)  /  药命俱乐部(台),导演:让-马克·瓦雷Jean-MarcVallée\主演:马修·麦康纳MatthewMcCon...,2013/美国/剧情传记同性,8.8,Jared Leto的腿比女人还美！
166,疯狂原始人,The Croods,古鲁家族(港 / 台) ,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders\主演...,2013/美国/喜剧动画冒险,8.7,老少皆宜，这就是好莱坞动画的魅力。
167,心迷宫, ,殡棺  /  The Coffin in the Mountain,导演:忻钰坤YukunXin\主演:霍卫民WeiminHuo/王笑天XiaotianWang...,2014/中国大陆/剧情犯罪悬疑,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
168,谍影重重3,The Bourne Ultimatum,叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),导演:保罗·格林格拉斯PaulGreengrass\主演:马特·达蒙MattDamon/...,2007/美国德国法国英国/动作悬疑惊悚,8.8,像吃了苏打饼一样干脆的电影。
169,英雄本色, ,A Better Tomorrow  /  Gangland Boss,导演:吴宇森JohnWoo\主演:周润发Yun-FatChow/狄龙LungTi/张国...,1986/中国香港/剧情动作犯罪,8.6,英雄泪短，兄弟情长。 
170,上帝之城,Cidade de Deus,无主之城(港)  /  无法无天(台),导演:费尔南多·梅里尔斯FernandoMeirelles/卡迪亚·兰德KátiaLund&nbsp...,2002/巴西法国/犯罪剧情,9.0,被上帝抛弃了的上帝之城。
171,风之谷,風の谷のナウシカ,风谷少女  /  Kaze no tani no Naushika,导演:宫崎骏HayaoMiyazaki\主演:岛本须美SumiShimamoto/松田洋治Y...,1984/日本/动画奇幻冒险,8.9,动画片的圣经。
172,纵横四海,緃横四海,Once a Thief,导演:吴宇森JohnWoo\主演:周润发Yun-FatChow/张国荣LeslieCheung...,1991/中国香港/剧情喜剧动作犯罪,8.8,香港浪漫主义警匪动作片的巅峰之作。
173,卢旺达饭店,Hotel Rwanda,卢安达饭店(台),导演:特瑞·乔治TerryGeorge\主演:唐·钱德尔DonCheadle/苏菲·奥...,2004/英国南非意大利美国/剧情传记历史战争,8.9,当这个世界闭上双眼，他却敞开了怀抱。
174,海街日记,海街diary,海街女孩日记(港)  /  Kamakura Diary,导演:是枝裕和HirokazuKoreeda\主演:绫濑遥HarukaAyase/长泽雅美M...,2015/日本/剧情家庭,8.8,是枝裕和的家庭习作。
175,爱在午夜降临前,Before Midnight,情约半生(港)  /  爱在午夜希腊时(台),导演:理查德·林克莱特RichardLinklater\主演:伊桑·霍克EthanHawke...,2013/美国希腊/剧情爱情,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
176,绿里奇迹,The Green Mile,绿色奇迹(台)  /  绿色英里,导演:弗兰克·德拉邦特FrankDarabont\主演:汤姆·汉克斯TomHanks/...,1999/美国/犯罪剧情奇幻悬疑,8.9,天使暂时离开。
177,小丑,Joker,小丑起源电影：罗密欧  /  Romeo,导演:托德·菲利普斯ToddPhillips\主演:杰昆·菲尼克斯JoaquinPhoeni...,2019/美国加拿大/剧情犯罪惊悚,8.7, 
178,记忆碎片,Memento,凶心人(港)  /  记忆拼图(台),导演:克里斯托弗·诺兰ChristopherNolan\主演:盖·皮尔斯GuyPearce/...,2000/美国/犯罪剧情悬疑惊悚,8.7,一个针管引发的血案。
179,疯狂的石头, ,Crazy Stone,导演:宁浩HaoNing\主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin,2006/中国大陆中国香港/喜剧犯罪,8.6,中国版《两杆大烟枪》。
180,背靠背，脸对脸, ,"背对背，脸对脸  /  Back to Back, Face to Face",导演:黄建新JianxinHuang/杨亚洲YazhouYang\主演:牛振华ZhenhuaN...,1994/中国大陆中国香港/剧情,9.5, 
181,雨中曲,Singin' in the Rain,万花嬉春(港 / 台) ,导演:斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly\主演:吉恩·...,1952/美国/喜剧歌舞爱情,9.1,骨灰级歌舞片。
182,心灵奇旅,Soul,灵魂奇遇记(港)  /  灵魂急转弯(台),导演:彼特·道格特PeteDocter/凯普·鲍尔斯KempPowers\主演:杰米·...,2020/美国/动画奇幻音乐,8.7, 
183,2001太空漫游,2001: A Space Odyssey,2001：星际漫游  /  2001：太空奥德赛,导演:斯坦利·库布里克StanleyKubrick\主演:凯尔·杜拉KeirDullea/...,1968/英国美国/科幻惊悚冒险,8.9,现代科幻电影的开山之作，最伟大导演的最伟大影片。
184,岁月神偷,歲月神偷,1969太空漫游  /  Echoes Of The Rainbow,导演:罗启锐AlexLaw\主演:吴君如SandraNg/任达华SimonYam/钟绍...,2010/中国香港中国大陆/剧情家庭,8.7,岁月流逝，来日可追。
185,忠犬八公物语,ハチ公物語,八千公物语  /  阿八的故事,导演:神山征二郎SeijirôKôyama\主演:仲代达矢TatsuyaNakadai/...,1987/日本/剧情,9.2,养狗三日，便会对你终其一生。
186,无间道2,無間道II,无间道前传  /  Infernal Affairs II,导演:刘伟强/麦兆辉\主演:陈冠希EdisonChen/余文乐ShawnYue/曾...,2003/中国香港/剧情犯罪惊悚,8.7, 
187,荒蛮故事,Relatos salvajes,蛮荒故事  /  生命中最抓狂的小事(台),导演:达米安·斯兹弗隆DamiánSzifron\主演:达里奥·葛兰帝内提Darío...,2014/阿根廷西班牙/剧情喜剧犯罪,8.8,始于荒诞，止于更荒诞。
188,小偷家族,万引き家族,Shoplifters  /  Une Affaire de Famille,导演:是枝裕和HirokazuKoreeda\主演:中川雅也LilyFranky/安藤樱Sa...,2018/日本/剧情犯罪家庭,8.7,我们组成了家。
189,无敌破坏王,Wreck-It Ralph,破坏王拉尔夫  /  破坏王大冒险,导演:瑞奇·莫尔RichMoore\主演:约翰·C·赖利JohnC.Reilly/萨拉...,2012/美国/喜剧动画奇幻冒险,8.7,迪士尼和皮克斯拿错剧本的产物。
190,爆裂鼓手,Whiplash,鼓动真我(港)  /  进击的鼓手(台),导演:达米恩·查泽雷DamienChazelle\主演:迈尔斯·特勒MilesTeller/...,2014/美国/剧情音乐,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
191,冰川时代,Ice Age,冰河世纪  /  冰原历险记,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge\主演...,2002/美国/喜剧动画冒险,8.6,松鼠才是角儿。
192,恐怖游轮,Triangle,汪洋血迷宮(台)  /  轮回三角,导演:克里斯托弗·史密斯ChristopherSmith\主演:梅利莎·乔治Melissa...,2009/英国澳大利亚/剧情悬疑惊悚,8.5,不要企图在重复中寻找已经失去的爱。
193,贫民窟的百万富翁,Slumdog Millionaire,一百万零一夜(港)  /  贫民百万富翁(台),导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan\主演:戴夫...,2008/英国/剧情爱情,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
194,牯岭街少年杀人事件,牯嶺街少年殺人事件,A Brighter Summer Day,导演:杨德昌EdwardYang\主演:张震ChenChang/杨静怡LisaYang/张...,1991/中国台湾/剧情犯罪,8.9,弱者送给弱者的一刀。
195,东邪西毒,東邪西毒,Ashes of Time,导演:王家卫KarWaiWong\主演:张国荣LeslieCheung/林青霞Brigitte...,1994/中国香港中国台湾/剧情动作爱情武侠古装,8.6,电影诗。
196,魔女宅急便,魔女の宅急便,魔女琪琪(台)  /  小魔女限时专送,导演:宫崎骏HayaoMiyazaki\主演:高山南MinamiTakayama/佐久间玲Re...,1989/日本/动画奇幻冒险,8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
197,遗愿清单,The Bucket List,玩转身前事(港)  /  一路玩到挂(台),导演:罗伯·莱纳RobReiner\主演:杰克·尼科尔森JackNicholson/摩根...,2007/美国/冒险喜剧剧情,8.7,用剩余不多的时间，去燃烧整个生命。
198,东京教父,東京ゴッドファーザーズ,Tokyo Godfathers,导演:今敏SatoshiKon\主演:江守彻ToruEmori/梅垣义明YoshiakiUme...,2003/日本/剧情喜剧动画,9.0, 
199,大佛普拉斯, ,The Great Buddha+,导演:黄信尧Hsin-yaoHuang\主演:庄益增YizengZhuang/陈竹昇Chu-sh...,2017/中国台湾/剧情喜剧,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。
200,你看起来好像很好吃,おまえうまそうだな,你看起来很好吃(台)  /  你看上去好像很好吃,导演:藤森雅也MasayaFujimori\主演:山口胜平KappeiYamaguchi/爱河...,2010/日本/剧情动画儿童,8.9,感情不分食草或者食肉。
201,可可西里, ,Kekexili: Mountain Patrol,导演:陆川ChuanLu\主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...,2004/中国大陆中国香港/剧情犯罪,8.9,坚硬的信仰。
202,真爱至上,Love Actually,真的恋爱了(港)  /  爱是您，爱是我(台),导演:理查德·柯蒂斯RichardCurtis\主演:休·格兰特HughGrant/连姆...,2003/英国美国法国/喜剧剧情爱情,8.6,爱，是个动词。
203,黑天鹅,Black Swan,夺命黑天鹅  /  霸王别鹅(豆友译名),导演:达伦·阿罗诺夫斯基DarrenAronofsky\主演:娜塔莉·波特曼Natalie...,2010/美国/剧情惊悚,8.6,黑暗之美。
204,城市之光,City Lights,City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,导演:CharlesChaplin\主演:查理·卓别林CharlesChaplin/弗吉尼亚·...,1931/美国/喜剧剧情爱情,9.3,永远的小人物，伟大的卓别林。
205,源代码,Source Code,启动原始码(台)  /  危机解密(港),导演:邓肯·琼斯DuncanJones\主演:杰克·吉伦哈尔JakeGyllenhaal/...,2011/美国加拿大/科幻悬疑惊悚,8.5,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
206,海边的曼彻斯特,Manchester by the Sea,情系海边之城(港),导演:肯尼斯·罗纳根KennethLonergan\主演:卡西·阿弗莱克CaseyAffle...,2016/美国/剧情家庭,8.6,我们都有权利不与自己的过去和解。
207,雨人,Rain Man,手足情未了(港)  /  手足情深,导演:巴瑞·莱文森BarryLevinson\主演:达斯汀·霍夫曼DustinHoffman...,1988/美国/剧情,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
208,波西米亚狂想曲,Bohemian Rhapsody,波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),导演:布莱恩·辛格BryanSinger\主演:拉米·马雷克RamiMalek/本·哈...,2018/英国美国/剧情传记同性音乐,8.6, 
209,初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,初恋那件小事(港)  /  暗恋那点小事,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...,2010/泰国/剧情喜剧爱情,8.5,黑小鸭速效美白记。
210,恋恋笔记本,The Notebook,忘了·忘不了(港)  /  手札情缘(台),导演:尼克·卡索维茨NickCassavetes\主演:瑞恩·高斯林RyanGosling/...,2004/美国/剧情爱情,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
211,青蛇, ,Green Snake,导演:徐克HarkTsui\主演:张曼玉MaggieCheung/王祖贤JoeyWang/...,1993/中国香港中国大陆/剧情爱情奇幻古装,8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
212,人工智能,A.I. Artificial Intelligence,AI人工智慧,导演:史蒂文·斯皮尔伯格StevenSpielberg\主演:海利·乔·奥斯蒙Haley...,2001/美国英国/剧情科幻,8.7,对爱的执着，可以超越一切。
213,末路狂花,Thelma & Louise,塞尔玛与路易丝  /  末路狂花,导演:雷德利·斯科特RidleyScott\主演:吉娜·戴维斯GeenaDavis/苏...,1991/美国英国法国/犯罪剧情惊悚,8.9,没有了退路，只好飞向自由。
214,虎口脱险,La grande vadrouille,横冲直撞出重围(港)  /  大進擊(台),导演:杰拉尔·乌里GérardOury\主演:路易·德·菲耐斯LouisdeFunès...,1966/法国英国/喜剧战争,8.9,永远看不腻的喜剧。
215,终结者2：审判日,Terminator 2: Judgment Day,未来战士2(港)  /  魔鬼终结者2(台),导演:詹姆斯·卡梅隆JamesCameron\主演:阿诺·施瓦辛格ArnoldSchwarz...,1991/美国法国/动作科幻,8.8,少见的超越首部的续集，动作片中的经典。
216,疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),导演:乔治·米勒GeorgeMiller\主演:汤姆·哈迪TomHardy/查理兹·塞...,2015/澳大利亚美国/动作科幻冒险,8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
217,罗生门,羅生門,Rashomon,导演:黑泽明AkiraKurosawa\主演:三船敏郎ToshirôMifune/京町子...,1950/日本/剧情犯罪悬疑,8.8,人生的N种可能性。
218,新龙门客栈,新龍門客棧,New Dragon Gate Inn,导演:李惠民RaymondLee\主演:张曼玉MaggieCheung/林青霞Brigitte...,1992/中国香港中国大陆/动作爱情武侠古装,8.7,嬉笑怒骂，调风动月。
219,无耻混蛋,Inglourious Basterds,希魔撞正杀人狂(港)  /  恶棍特工(台),导演:昆汀·塔伦蒂诺QuentinTarantino\主演:布拉德·皮特BradPitt/...,2009/德国美国/剧情犯罪,8.7,昆汀同学越来越变态了，比北野武还杜琪峰。
220,千钧一发,Gattaca,变种异煞(港)  /  自然人,导演:安德鲁·尼科尔AndrewNiccol\主演:伊桑·霍克EthanHawke/乌玛...,1997/美国/剧情科幻惊悚,8.8,一部能引人思考的科幻励志片。
221,崖上的波妞,崖の上のポニョ,悬崖上的金鱼姬  /  悬崖上的金鱼公主,导演:宫崎骏HayaoMiyazaki\主演:奈良柚莉爱YuriaNara/土井洋辉Hir...,2008/日本/动画奇幻冒险,8.6, 
222,芙蓉镇, ,Hibiscus Town,导演:谢晋JinXie\主演:刘晓庆XiaoqingLiu/姜文WenJiang/郑在石...,1987/中国大陆/剧情爱情,9.3, 
223,萤火虫之墓,火垂るの墓,再见萤火虫(港)  /  萤火挽歌,导演:高畑勋IsaoTakahata\主演:辰己努/白石绫乃/志乃原良子,1988/日本/动画剧情战争,8.7,幸福是生生不息，却难以触及的远。 
224,花束般的恋爱,花束みたいな恋をした,她和他的恋爱花期(港)  /  爱如花束 恋恋不忘,导演:土井裕泰NobuhiroDoi\主演:菅田将晖MasakiSuda/有村架纯Kasu...,2021/日本/剧情爱情,8.6, 
225,彗星来的那一夜,Coherence,相干性  /  相干效应,导演:詹姆斯·沃德·布柯特JamesWardByrkit\主演:艾米丽·芭尔多尼Em...,2013/美国英国/科幻悬疑惊悚,8.6,小成本大魅力。
226,爱乐之城,La La Land,星声梦里人(港)  /  乐来越爱你(台),导演:达米恩·查泽雷DamienChazelle\主演:瑞恩·高斯林RyanGosling/...,2016/美国/剧情爱情歌舞,8.4, 
227,奇迹男孩,Wonder,奇迹,导演:斯蒂芬·卓博斯基StephenChbosky\主演:雅各布·特伦布莱JacobTr...,2017/美国中国香港/剧情儿童家庭,8.6,世界不完美，爱会有奇迹。
